Server,Allocated Users
0,"[142, 236, 409, 664, 906, 920, 1232, 1329, 1401, 1458, 1625, 1640, 1748, 1925, 1996, 2213, 2271, 2289, 2345, 2450, 2479, 2554, 2644, 2824, 3058, 3135, 3156, 3295, 3365, 3408, 3483, 3532, 3656, 3664, 3757, 4166, 4192, 4244, 4310, 4324, 4329, 4363, 4459, 4634, 4640, 4654, 4682, 4886, 4953, 4966, 5835, 5865, 5874, 6025, 6030, 6124, 6171, 6318, 6640, 6670, 6837, 7271, 7284, 7310, 7322, 7382, 7422, 7449, 7468, 7568, 7596, 7714, 7809, 7887, 7894, 7919, 7952, 8233, 8360, 8416, 8441, 8448, 8569, 8587, 8615, 8646, 8706, 8707, 8803, 8820, 9064, 9083, 9177, 9219, 9311, 9435, 9572, 9772, 9812, 9835]"
1,"[74, 111, 158, 230, 283, 292, 323, 344, 534, 891, 943, 1069, 1102, 1119, 1123, 1203, 1273, 1417, 1535, 1573, 1604, 1637, 1887, 2104, 2152, 2185, 2207, 2387, 2446, 2471, 2552, 2582, 2826, 2949, 2991, 3017, 3438, 3457, 3680, 3696, 3733, 3736, 3864, 3911, 4277, 4343, 4378, 4476, 4647, 4694, 4991, 5143, 5179, 5184, 5225, 5251, 5348, 5380, 5627, 5710, 5762, 5808, 5838, 5915, 6321, 6328, 6351, 6389, 6448, 6474, 6618, 6706, 6912, 6916, 7113, 7168, 7366, 7402, 7415, 7445, 7498, 7518, 7525, 7594, 7734, 7971, 8066, 8235, 8289, 8301, 8452, 8622, 8700, 8786, 8815, 8974, 9014, 9103, 9227, 9272, 9307, 9433, 9501, 9521, 9549, 9585, 9618]"
2,"[92, 223, 278, 308, 362, 380, 448, 488, 572, 987, 1248, 1293, 1639, 1690, 1762, 1784, 1838, 1848, 1884, 1956, 1999, 2083, 2149, 2402, 2405, 2424, 2442, 2500, 2596, 2658, 2812, 2864, 2889, 2969, 3066, 3134, 3140, 3217, 3448, 3772, 3936, 3974, 4009, 4083, 4096, 4125, 4322, 4344, 4409, 4475, 4710, 4803, 4952, 5129, 5199, 5278, 5313, 5473, 5487, 5569, 5617, 5854, 5925, 6206, 6463, 6525, 6672, 6835, 7007, 7078, 7097, 7157, 7183, 7342, 7579, 7580, 7730, 7858, 7870, 7934, 8154, 8529, 8570, 8573, 8659, 8969, 8989, 9299, 9823, 9887]"
3,"[103, 150, 215, 234, 241, 280, 300, 318, 364, 518, 728, 769, 787, 826, 918, 1002, 1087, 1230, 1332, 1350, 1405, 1514, 1794, 1809, 1818, 1906, 2001, 2022, 2039, 2103, 2153, 2162, 2438, 2913, 2920, 3098, 3163, 3256, 3428, 3570, 3690, 3747, 3983, 4076, 4087, 4215, 4400, 4406, 4534, 4559, 4585, 4593, 4639, 4781, 4808, 4844, 4923, 4949, 5150, 5181, 5266, 5334, 5412, 5462, 5567, 5704, 5753, 5765, 5985, 6156, 6276, 6294, 6306, 6309, 6378, 6694, 6853, 6890, 6907, 6926, 6978, 7272, 7289, 7305, 7703, 7728, 7732, 7851, 7859, 7881, 8036, 8076, 8083, 8226, 8403, 8670, 8784, 9031, 9094, 9110, 9114, 9189, 9273, 9351, 9352, 9448, 9506, 9588, 9626, 9675, 9904, 9978]"
4,"[27, 45, 348, 393, 396, 477, 842, 890, 1183, 1201, 1258, 1321, 1326, 1337, 1341, 1344, 1475, 1797, 1806, 1819, 1842, 1874, 2048, 2112, 2137, 2184, 2215, 2432, 2451, 2791, 2849, 3030, 3183, 3185, 3191, 3231, 3376, 3435, 3542, 3767, 3851, 4133, 4419, 4519, 4605, 4627, 4780, 4899, 4917, 4918, 4925, 5066, 5092, 5368, 5406, 5424, 5556, 5685, 5767, 5871, 5920, 5939, 5977, 6403, 6442, 6591, 6747, 6749, 6903, 7044, 7110, 7398, 7513, 7647, 7653, 7800, 7868, 7920, 8077, 8105, 8293, 8406, 8770, 8858, 8872, 9165, 9446, 9554, 9592, 9784, 9937, 9944, 9959]"
5,"[35, 127, 145, 404, 445, 678, 703, 775, 905, 969, 970, 993, 1091, 1315, 1323, 1390, 1533, 1646, 1876, 1930, 2020, 2054, 2154, 2168, 2378, 2473, 2494, 2551, 2561, 2871, 2924, 2988, 3454, 3536, 3729, 3749, 3786, 3844, 3905, 3958, 3996, 4110, 4170, 4193, 4295, 4326, 4549, 4706, 4842, 4849, 4985, 5252, 5294, 5444, 5539, 5595, 5700, 5839, 5842, 5945, 6029, 6103, 6260, 6283, 6287, 6383, 6421, 6621, 6639, 6797, 6938, 7016, 7077, 7126, 7135, 7268, 7275, 7388, 7474, 7488, 7554, 7565, 7602, 7668, 7833, 7951, 8198, 8248, 8256, 8291, 8382, 8497, 8511, 8595, 8645, 8813, 8828, 8864, 8984, 9032, 9061, 9072, 9092, 9170, 9540, 9565, 9625, 9768, 9948]"
6,"[20, 22, 73, 239, 332, 402, 429, 571, 783, 797, 902, 1136, 1465, 1551, 1655, 1719, 1749, 1791, 1820, 1853, 1921, 1922, 1977, 2024, 2150, 2343, 2352, 2454, 2560, 2657, 2668, 2766, 2773, 2827, 2836, 2899, 3016, 3128, 3158, 3290, 3356, 3364, 3661, 3708, 3856, 3944, 3945, 4024, 4146, 4225, 4279, 4404, 4525, 4562, 4590, 4595, 4615, 5001, 5023, 5180, 5371, 5392, 5437, 5563, 5864, 5938, 6109, 6189, 6221, 6317, 6450, 6626, 6630, 6739, 6774, 7020, 7054, 7055, 7150, 7294, 7313, 7347, 7535, 7779, 7804, 7843, 8078, 8242, 8398, 8451, 8526, 8620, 8671, 8673, 8729, 8763, 8853, 8869, 9033, 9045, 9086, 9098, 9157, 9234, 9241, 9627, 9668, 9751, 9899, 9942]"
7,"[97, 228, 294, 519, 595, 726, 733, 785, 871, 985, 1089, 1236, 1342, 1435, 1574, 1605, 1823, 1841, 1994, 2087, 2176, 2216, 2304, 2415, 2431, 2469, 2528, 2530, 2661, 2893, 2895, 3007, 3033, 3062, 3413, 3554, 3615, 3742, 3759, 3818, 3965, 3997, 4002, 4044, 4067, 4320, 4338, 4367, 4533, 4624, 4688, 4791, 4809, 4856, 4905, 5034, 5107, 5191, 5236, 5241, 5247, 5351, 5455, 5599, 5826, 5969, 6042, 6149, 6152, 6183, 6315, 6335, 6356, 6395, 6438, 6505, 6720, 6855, 6862, 6895, 7018, 7179, 7371, 7487, 7669, 7762, 7768, 7978, 8027, 8040, 8057, 8172, 8184, 8267, 8284, 8288, 8371, 8512, 8612, 8701, 8877, 8896, 9185, 9479, 9586, 9642, 9910, 9955, 9962]"
8,"[44, 71, 96, 186, 361, 476, 491, 605, 730, 790, 864, 963, 1033, 1098, 1257, 1322, 1406, 1482, 1565, 1666, 1716, 2069, 2223, 2393, 2434, 2457, 2474, 2627, 2666, 2784, 2852, 2857, 2888, 2947, 2994, 3141, 3147, 3195, 3339, 3399, 3437, 3509, 3618, 3628, 3813, 3912, 4029, 4149, 4374, 4389, 4398, 4743, 4788, 5012, 5173, 5273, 5408, 5442, 5687, 6194, 6198, 6245, 6293, 6359, 6394, 6425, 6431, 6610, 6710, 6752, 7006, 7111, 7124, 7143, 7226, 7348, 7545, 7842, 8072, 8134, 8282, 8294, 8380, 8388, 8411, 8580, 8601, 8666, 8691, 8779, 8960, 9124, 9251, 9337, 9393, 9514, 9607, 9638, 9709, 9886, 9923]"
9,"[291, 338, 463, 542, 649, 672, 696, 723, 916, 919, 962, 1046, 1081, 1175, 1208, 1335, 1347, 1383, 1633, 1689, 2073, 2140, 2148, 2280, 2364, 2369, 2427, 2510, 2581, 2623, 2698, 2705, 2747, 2954, 3129, 3261, 3296, 3314, 3588, 3674, 4256, 4451, 4484, 4495, 4518, 4548, 4714, 4733, 4756, 4764, 4817, 4874, 4900, 4932, 4974, 5024, 5116, 5254, 5425, 5734, 5875, 5879, 6115, 6190, 6210, 6366, 6375, 6451, 6480, 6676, 6772, 6921, 6955, 7414, 7905, 8006, 8007, 8031, 8171, 8186, 8187, 8355, 8399, 8489, 8640, 8717, 8746, 8769, 8780, 8783, 8792, 9037, 9145, 9261, 9387, 9776, 9847, 9848]"
